表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,
公開日：,2025年10月31日,,,,,,,,,
,,,,,,,,,,
NA,欠測値,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
調査年,地域,A1101_総人口【人】,A110101_総人口（男）【人】,A110102_総人口（女）【人】,B1103_可住地面積【ｈａ】,B4101_年平均気温【℃】,B4108_日照時間（年間）【時間】,C1101_県内総生産額（平成17年基準）【百万円】,M380100_交際・付き合いの平均時間（15歳以上）（男）【分】,M380200_交際・付き合いの平均時間（15歳以上）（女）【分】
year,pref,pop,male,female,area,temp,sun,gdp,hour_m,hour_f
2023年度,富山県,1007000 ,490000 ,516000 ,184223 ,16 ,1979 ,NA,NA,NA
2023年度,石川県,1109000 ,539000 ,570000 ,139463 ,17 ,2030 ,NA,NA,NA
2023年度,福井県,744000 ,364000 ,380000 ,107730 ,16 ,1956 ,NA,NA,NA
2023年度,山梨県,796000 ,391000 ,404000 ,95310 ,16 ,2484 ,NA,NA,NA
2023年度,長野県,2004000 ,981000 ,1023000 ,324893 ,14 ,2236 ,NA,NA,NA
2023年度,岐阜県,1931000 ,938000 ,993000 ,221063 ,17 ,2342 ,NA,NA,NA
2023年度,静岡県,3555000 ,1754000 ,1801000 ,277443 ,18 ,2459 ,NA,NA,NA
2023年度,愛知県,7477000 ,3726000 ,3751000 ,299578 ,18 ,2378 ,NA,NA,NA
2023年度,三重県,1727000 ,844000 ,882000 ,206414 ,17 ,2373 ,NA,NA,NA
2023年度,滋賀県,1407000 ,695000 ,712000 ,129957 ,16 ,2102 ,NA,NA,NA
2023年度,京都府,2535000 ,1210000 ,1325000 ,117729 ,17 ,2081 ,NA,NA,NA
2023年度,大阪府,8763000 ,4191000 ,4572000 ,133407 ,18 ,2324 ,NA,NA,NA
2023年度,兵庫県,5370000 ,2551000 ,2819000 ,276947 ,18 ,2319 ,NA,NA,NA
2023年度,奈良県,1296000 ,609000 ,686000 ,85389 ,17 ,2095 ,NA,NA,NA
2023年度,和歌山県,892000 ,420000 ,471000 ,112339 ,18 ,2328 ,NA,NA,NA
2023年度,鳥取県,537000 ,257000 ,280000 ,90422 ,17 ,1936 ,NA,NA,NA
2023年度,島根県,650000 ,314000 ,335000 ,127081 ,17 ,1894 ,NA,NA,NA
2023年度,岡山県,1847000 ,889000 ,958000 ,222854 ,17 ,2201 ,NA,NA,NA
2023年度,広島県,2738000 ,1329000 ,1409000 ,229802 ,18 ,2179 ,NA,NA,NA
2023年度,山口県,1298000 ,618000 ,680000 ,171523 ,17 ,2019 ,NA,NA,NA
2023年度,徳島県,695000 ,332000 ,363000 ,101628 ,18 ,2309 ,NA,NA,NA
2023年度,香川県,926000 ,448000 ,478000 ,100503 ,18 ,2208 ,NA,NA,NA
2023年度,愛媛県,1291000 ,613000 ,678000 ,166574 ,18 ,2140 ,NA,NA,NA
2023年度,高知県,666000 ,316000 ,351000 ,115994 ,18 ,2249 ,NA,NA,NA
2023年度,福岡県,5103000 ,2418000 ,2685000 ,276452 ,19 ,2033 ,NA,NA,NA
2023年度,佐賀県,795000 ,377000 ,417000 ,133458 ,18 ,2084 ,NA,NA,NA
2023年度,長崎県,1267000 ,598000 ,670000 ,166804 ,18 ,1939 ,NA,NA,NA
2023年度,熊本県,1709000 ,811000 ,898000 ,274668 ,18 ,2101 ,NA,NA,NA
2023年度,大分県,1096000 ,522000 ,575000 ,179505 ,18 ,2116 ,NA,NA,NA
2023年度,宮崎県,1042000 ,492000 ,550000 ,187508 ,18 ,2213 ,NA,NA,NA
2023年度,鹿児島県,1549000 ,732000 ,817000 ,328724 ,20 ,2102 ,NA,NA,NA
2023年度,沖縄県,1468000 ,723000 ,745000 ,112607 ,24 ,1861 ,NA,NA,NA
2022年度,北海道,5140000 ,2427000 ,2714000 ,2269856 ,10 ,1848 ,NA,NA,NA
2022年度,青森県,1204000 ,568000 ,636000 ,325350 ,11 ,1772 ,NA,NA,NA
2022年度,岩手県,1181000 ,570000 ,611000 ,375137 ,11 ,1774 ,NA,NA,NA
2022年度,宮城県,2280000 ,1112000 ,1168000 ,318591 ,14 ,1952 ,NA,NA,NA
2022年度,秋田県,930000 ,439000 ,491000 ,323329 ,13 ,1654 ,NA,NA,NA
2022年度,山形県,1041000 ,505000 ,536000 ,287329 ,13 ,1744 ,NA,NA,NA
2022年度,福島県,1790000 ,884000 ,906000 ,423073 ,14 ,1808 ,NA,NA,NA
2022年度,茨城県,2840000 ,1418000 ,1422000 ,388890 ,15 ,2159 ,NA,NA,NA
2022年度,栃木県,1909000 ,952000 ,956000 ,300506 ,15 ,2071 ,NA,NA,NA
2022年度,群馬県,1913000 ,947000 ,966000 ,226902 ,16 ,2214 ,NA,NA,NA
2022年度,埼玉県,7337000 ,3643000 ,3694000 ,260309 ,16 ,2214 ,NA,NA,NA
2022年度,千葉県,6266000 ,3104000 ,3162000 ,353303 ,17 ,2025 ,NA,NA,NA
2022年度,東京都,14038000 ,6889000 ,7149000 ,142280 ,16 ,2029 ,NA,NA,NA
2022年度,神奈川県,9232000 ,4579000 ,4653000 ,147405 ,17 ,2111 ,NA,NA,NA
2022年度,新潟県,2153000 ,1046000 ,1107000 ,455017 ,15 ,1752 ,NA,NA,NA
2022年度,富山県,1017000 ,495000 ,522000 ,184223 ,15 ,1776 ,NA,NA,NA
2022年度,石川県,1118000 ,543000 ,575000 ,139466 ,16 ,1903 ,NA,NA,NA
2022年度,福井県,753000 ,368000 ,385000 ,107734 ,15 ,1826 ,NA,NA,NA
2022年度,山梨県,802000 ,394000 ,408000 ,95310 ,16 ,2298 ,NA,NA,NA
2022年度,長野県,2020000 ,988000 ,1032000 ,324893 ,13 ,2041 ,NA,NA,NA
2022年度,岐阜県,1946000 ,945000 ,1001000 ,221063 ,17 ,2180 ,NA,NA,NA
2022年度,静岡県,3582000 ,1766000 ,1816000 ,277441 ,17 ,2240 ,NA,NA,NA
2022年度,愛知県,7495000 ,3734000 ,3761000 ,299593 ,17 ,2256 ,NA,NA,NA
2022年度,三重県,1742000 ,851000 ,891000 ,206414 ,17 ,2195 ,NA,NA,NA
2022年度,滋賀県,1409000 ,695000 ,714000 ,129957 ,16 ,1996 ,NA,NA,NA
2022年度,京都府,2550000 ,1217000 ,1333000 ,117729 ,17 ,2004 ,NA,NA,NA
2022年度,大阪府,8782000 ,4202000 ,4580000 ,133407 ,18 ,2320 ,NA,NA,NA
2022年度,兵庫県,5402000 ,2567000 ,2835000 ,276946 ,18 ,2310 ,NA,NA,NA
2022年度,奈良県,1306000 ,614000 ,691000 ,85389 ,16 ,2043 ,NA,NA,NA
2022年度,和歌山県,903000 ,426000 ,477000 ,112339 ,17 ,2260 ,NA,NA,NA
2022年度,鳥取県,544000 ,260000 ,284000 ,90432 ,16 ,1793 ,NA,NA,NA
2022年度,島根県,658000 ,318000 ,340000 ,127094 ,16 ,1896 ,NA,NA,NA
2022年度,岡山県,1862000 ,896000 ,966000 ,222871 ,16 ,2252 ,NA,NA,NA
2022年度,広島県,2760000 ,1338000 ,1422000 ,229808 ,17 ,2182 ,NA,NA,NA
2022年度,山口県,1313000 ,624000 ,689000 ,171512 ,16 ,2078 ,NA,NA,NA
2022年度,徳島県,704000 ,336000 ,368000 ,101628 ,17 ,2278 ,NA,NA,NA
2022年度,香川県,934000 ,451000 ,483000 ,100507 ,17 ,2228 ,NA,NA,NA
2022年度,愛媛県,1306000 ,620000 ,686000 ,166580 ,17 ,2153 ,NA,NA,NA
2022年度,高知県,676000 ,320000 ,356000 ,116057 ,18 ,2271 ,NA,NA,NA
2022年度,福岡県,5116000 ,2423000 ,2693000 ,276451 ,18 ,2160 ,NA,NA,NA
2022年度,佐賀県,801000 ,380000 ,421000 ,133457 ,18 ,2212 ,NA,NA,NA
2022年度,長崎県,1283000 ,604000 ,679000 ,166798 ,18 ,2015 ,NA,NA,NA
2022年度,熊本県,1718000 ,814000 ,904000 ,274668 ,18 ,2155 ,NA,NA,NA
2022年度,大分県,1107000 ,526000 ,581000 ,179505 ,17 ,2069 ,NA,NA,NA
2022年度,宮崎県,1052000 ,497000 ,555000 ,187516 ,18 ,2107 ,NA,NA,NA
2022年度,鹿児島県,1563000 ,738000 ,825000 ,328739 ,19 ,2003 ,NA,NA,NA
2022年度,沖縄県,1468000 ,723000 ,746000 ,112613 ,24 ,1589 ,NA,NA,NA
2021年度,北海道,5183000 ,2446000 ,2737000 ,2269920 ,10 ,2049 ,NA,9 ,10 
2021年度,青森県,1221000 ,575000 ,646000 ,325317 ,12 ,1786 ,NA,6 ,9 
2021年度,岩手県,1196000 ,577000 ,620000 ,375137 ,11 ,1781 ,NA,6 ,9 
2021年度,宮城県,2290000 ,1117000 ,1174000 ,318591 ,14 ,1973 ,NA,8 ,13 
2021年度,秋田県,945000 ,446000 ,499000 ,323329 ,13 ,1756 ,NA,8 ,10 
2021年度,山形県,1055000 ,511000 ,544000 ,287327 ,13 ,1735 ,NA,7 ,11 
2021年度,福島県,1812000 ,894000 ,918000 ,423073 ,14 ,1811 ,NA,5 ,11 
2021年度,茨城県,2852000 ,1423000 ,1428000 ,388861 ,15 ,2263 ,NA,8 ,8 
2021年度,栃木県,1921000 ,958000 ,963000 ,300506 ,15 ,2100 ,NA,6 ,9 
2021年度,群馬県,1927000 ,953000 ,974000 ,226902 ,16 ,2218 ,NA,9 ,11 
2021年度,埼玉県,7340000 ,3646000 ,3694000 ,260309 ,16 ,2245 ,NA,8 ,12 
2021年度,千葉県,6275000 ,3111000 ,3164000 ,353360 ,17 ,2170 ,NA,8 ,12 
2021年度,東京都,14010000 ,6875000 ,7135000 ,142280 ,17 ,2090 ,NA,8 ,15 
2021年度,神奈川県,9236000 ,4584000 ,4652000 ,147384 ,17 ,2216 ,NA,7 ,11 
2021年度,新潟県,2177000 ,1057000 ,1120000 ,455016 ,15 ,1827 ,NA,8 ,13 
2021年度,富山県,1025000 ,498000 ,527000 ,184223 ,15 ,1760 ,NA,7 ,12 
2021年度,石川県,1125000 ,546000 ,579000 ,139463 ,16 ,1889 ,NA,9 ,14 
2021年度,福井県,760000 ,371000 ,389000 ,107728 ,15 ,1829 ,NA,8 ,12 
2021年度,山梨県,805000 ,395000 ,410000 ,95310 ,16 ,2320 ,NA,10 ,10 
2021年度,長野県,2033000 ,994000 ,1040000 ,324893 ,13 ,2080 ,NA,6 ,10 
2021年度,岐阜県,1961000 ,952000 ,1009000 ,221063 ,17 ,2092 ,NA,9 ,13 
2021年度,静岡県,3608000 ,1778000 ,1829000 ,277467 ,18 ,2304 ,NA,7 ,13 
2021年度,愛知県,7517000 ,3746000 ,3771000 ,299584 ,17 ,2078 ,NA,10 ,12 
2021年度,三重県,1756000 ,857000 ,898000 ,206413 ,17 ,2166 ,NA,7 ,11 
2021年度,滋賀県,1411000 ,696000 ,715000 ,129957 ,16 ,1956 ,NA,8 ,12 
2021年度,京都府,2561000 ,1223000 ,1339000 ,117729 ,17 ,1908 ,NA,9 ,12 
2021年度,大阪府,8806000 ,4216000 ,4590000 ,133407 ,18 ,2180 ,NA,9 ,13 
2021年度,兵庫県,5432000 ,2582000 ,2850000 ,276946 ,18 ,2179 ,NA,9 ,11 
2021年度,奈良県,1315000 ,619000 ,696000 ,85389 ,16 ,1936 ,NA,5 ,11 
2021年度,和歌山県,914000 ,431000 ,483000 ,112338 ,17 ,2155 ,NA,11 ,12 
2021年度,鳥取県,549000 ,262000 ,286000 ,90434 ,16 ,1786 ,NA,8 ,11 
2021年度,島根県,665000 ,322000 ,343000 ,127098 ,16 ,1846 ,NA,8 ,13 
2021年度,岡山県,1876000 ,902000 ,974000 ,222827 ,16 ,2166 ,NA,8 ,12 
2021年度,広島県,2780000 ,1347000 ,1432000 ,229830 ,17 ,NA,NA,7 ,11 
2021年度,山口県,1328000 ,630000 ,697000 ,171517 ,16 ,1964 ,NA,9 ,12 
2021年度,徳島県,712000 ,340000 ,372000 ,101628 ,17 ,2189 ,NA,9 ,10 
2021年度,香川県,942000 ,455000 ,487000 ,100508 ,17 ,2159 ,NA,9 ,12 
2021年度,愛媛県,1321000 ,627000 ,694000 ,166594 ,17 ,2091 ,NA,9 ,12 
2021年度,高知県,684000 ,323000 ,361000 ,116126 ,18 ,2211 ,NA,8 ,9 
2021年度,福岡県,5124000 ,2425000 ,2698000 ,276373 ,18 ,2043 ,NA,7 ,12 
2021年度,佐賀県,806000 ,382000 ,424000 ,133457 ,18 ,2111 ,NA,9 ,14 
2021年度,長崎県,1297000 ,610000 ,687000 ,166797 ,18 ,1921 ,NA,7 ,10 
2021年度,熊本県,1728000 ,818000 ,910000 ,274689 ,18 ,2113 ,NA,7 ,11 
2021年度,大分県,1114000 ,529000 ,585000 ,179505 ,17 ,2005 ,NA,9 ,10 
2021年度,宮崎県,1061000 ,501000 ,560000 ,187592 ,18 ,2146 ,NA,8 ,13 
2021年度,鹿児島県,1576000 ,743000 ,833000 ,328748 ,19 ,2039 ,NA,8 ,13 
2021年度,沖縄県,1468000 ,723000 ,745000 ,112613 ,24 ,1867 ,NA,13 ,11 
2020年度,北海道,5224614 ,2465088 ,2759526 ,2269923 ,10 ,1764 ,NA,NA,NA
2020年度,青森県,1237984 ,583402 ,654582 ,325319 ,12 ,1599 ,NA,NA,NA
2020年度,岩手県,1210534 ,582952 ,627582 ,375137 ,11 ,1564 ,NA,NA,NA
2020年度,宮城県,2301996 ,1122598 ,1179398 ,318591 ,14 ,1797 ,NA,NA,NA
2020年度,秋田県,959502 ,452439 ,507063 ,323334 ,13 ,1536 ,NA,NA,NA
2020年度,山形県,1068027 ,516438 ,551589 ,287329 ,13 ,1547 ,NA,NA,NA
2020年度,福島県,1833152 ,903864 ,929288 ,423073 ,14 ,1684 ,NA,NA,NA
