表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,
公開日：,2025年10月31日,,,,,,,,,
,,,,,,,,,,
NA,欠測値,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
調査年,地域,A1101_総人口【人】,A110101_総人口（男）【人】,A110102_総人口（女）【人】,B1103_可住地面積【ｈａ】,B4101_年平均気温【℃】,B4108_日照時間（年間）【時間】,C1101_県内総生産額（平成17年基準）【百万円】,M380100_交際・付き合いの平均時間（15歳以上）（男）【分】,M380200_交際・付き合いの平均時間（15歳以上）（女）【分】
year,pref,pop,male,female,area,temp,sun,gdp,hour_m,hour_f
2012年度,兵庫県,5575000 ,2665000 ,2910000 ,277539 ,17 ,2015 ,18854905 ,NA,NA
2012年度,奈良県,1388000 ,656000 ,732000 ,85143 ,15 ,1756 ,3484796 ,NA,NA
2012年度,和歌山県,988000 ,465000 ,524000 ,109589 ,16 ,2042 ,3592266 ,NA,NA
2012年度,鳥取県,583000 ,278000 ,305000 ,91077 ,15 ,1726 ,1745257 ,NA,NA
2012年度,島根県,708000 ,339000 ,369000 ,128819 ,15 ,1721 ,2296427 ,NA,NA
2012年度,岡山県,1937000 ,929000 ,1008000 ,222737 ,16 ,2052 ,7059679 ,NA,NA
2012年度,広島県,2855000 ,1379000 ,1476000 ,229061 ,16 ,1962 ,10643624 ,NA,NA
2012年度,山口県,1434000 ,677000 ,757000 ,171618 ,15 ,1770 ,5610470 ,NA,NA
2012年度,徳島県,775000 ,368000 ,406000 ,102422 ,16 ,1996 ,2838091 ,NA,NA
2012年度,香川県,989000 ,477000 ,512000 ,100292 ,16 ,1997 ,3731541 ,NA,NA
2012年度,愛媛県,1415000 ,666000 ,749000 ,166733 ,16 ,1902 ,4603364 ,NA,NA
2012年度,高知県,751000 ,352000 ,398000 ,116056 ,17 ,2066 ,2232998 ,NA,NA
2012年度,福岡県,5089000 ,2402000 ,2687000 ,277576 ,17 ,1799 ,17574401 ,NA,NA
2012年度,佐賀県,845000 ,398000 ,447000 ,133297 ,17 ,1877 ,2635309 ,NA,NA
2012年度,長崎県,1408000 ,658000 ,750000 ,163431 ,17 ,1711 ,4364190 ,NA,NA
2012年度,熊本県,1807000 ,850000 ,958000 ,273208 ,17 ,1861 ,5566921 ,NA,NA
2012年度,大分県,1186000 ,561000 ,626000 ,174583 ,16 ,1861 ,4089824 ,NA,NA
2012年度,宮崎県,1125000 ,529000 ,597000 ,184571 ,17 ,2010 ,3491320 ,NA,NA
2012年度,鹿児島県,1687000 ,789000 ,898000 ,327060 ,18 ,1751 ,5265235 ,NA,NA
2012年度,沖縄県,1411000 ,693000 ,719000 ,116802 ,23 ,1539 ,3779342 ,NA,NA
2011年度,北海道,5488000 ,2593000 ,2896000 ,2220723 ,9 ,1754 ,18210144 ,19 ,20 
2011年度,青森県,1363000 ,641000 ,722000 ,323333 ,11 ,1542 ,4411862 ,14 ,14 
2011年度,岩手県,1315000 ,628000 ,686000 ,369392 ,11 ,1727 ,4121601 ,17 ,16 
2011年度,宮城県,2326000 ,1130000 ,1196000 ,314507 ,13 ,1990 ,7591136 ,17 ,18 
2011年度,秋田県,1075000 ,505000 ,570000 ,319409 ,12 ,1466 ,3471982 ,16 ,22 
2011年度,山形県,1162000 ,558000 ,604000 ,285527 ,12 ,1664 ,3599686 ,21 ,24 
2011年度,福島県,1988000 ,968000 ,1020000 ,422858 ,13 ,1825 ,6246660 ,17 ,18 
2011年度,茨城県,2960000 ,1475000 ,1485000 ,398173 ,14 ,2082 ,11420046 ,18 ,18 
2011年度,栃木県,2000000 ,993000 ,1007000 ,298151 ,14 ,2049 ,7795672 ,15 ,19 
2011年度,群馬県,2001000 ,985000 ,1016000 ,230109 ,15 ,2227 ,7503518 ,17 ,20 
2011年度,埼玉県,7209000 ,3612000 ,3597000 ,257407 ,15 ,2215 ,20618923 ,18 ,22 
2011年度,千葉県,6217000 ,3097000 ,3120000 ,353174 ,16 ,2083 ,19282862 ,15 ,20 
2011年度,東京都,13198000 ,6524000 ,6674000 ,139214 ,17 ,2056 ,93397128 ,21 ,25 
2011年度,神奈川県,9060000 ,4544000 ,4516000 ,146718 ,16 ,2188 ,30547706 ,17 ,22 
2011年度,新潟県,2364000 ,1143000 ,1221000 ,450379 ,14 ,1728 ,8718069 ,18 ,22 
2011年度,富山県,1088000 ,525000 ,564000 ,185256 ,14 ,1611 ,4429104 ,20 ,22 
2011年度,石川県,1167000 ,564000 ,603000 ,138842 ,15 ,1718 ,4409342 ,20 ,24 
2011年度,福井県,803000 ,389000 ,415000 ,107407 ,15 ,1691 ,3272789 ,20 ,15 
2011年度,山梨県,857000 ,420000 ,438000 ,95235 ,15 ,2307 ,3136409 ,22 ,23 
2011年度,長野県,2142000 ,1042000 ,1101000 ,331375 ,12 ,2013 ,7588078 ,18 ,20 
2011年度,岐阜県,2071000 ,1003000 ,1069000 ,220026 ,16 ,2081 ,7113799 ,17 ,22 
2011年度,静岡県,3752000 ,1847000 ,1904000 ,275340 ,17 ,2362 ,15457366 ,19 ,18 
2011年度,愛知県,7418000 ,3707000 ,3712000 ,297537 ,16 ,2152 ,33048369 ,18 ,19 
2011年度,三重県,1847000 ,900000 ,948000 ,204414 ,16 ,2103 ,7064845 ,16 ,19 
2011年度,滋賀県,1413000 ,698000 ,715000 ,129658 ,15 ,1850 ,5847431 ,19 ,19 
2011年度,京都府,2633000 ,1263000 ,1370000 ,117730 ,16 ,1770 ,9847575 ,18 ,24 
2011年度,大阪府,8863000 ,4281000 ,4582000 ,131834 ,17 ,2163 ,37241659 ,19 ,22 
2011年度,兵庫県,5584000 ,2670000 ,2914000 ,277516 ,17 ,2104 ,18900912 ,19 ,18 
2011年度,奈良県,1395000 ,660000 ,735000 ,85143 ,15 ,1848 ,3487826 ,17 ,19 
2011年度,和歌山県,995000 ,468000 ,527000 ,109589 ,17 ,2140 ,3574517 ,20 ,18 
2011年度,鳥取県,586000 ,280000 ,306000 ,91074 ,15 ,1604 ,1758193 ,17 ,20 
2011年度,島根県,713000 ,341000 ,372000 ,128815 ,15 ,1637 ,2355300 ,16 ,23 
2011年度,岡山県,1941000 ,931000 ,1010000 ,222737 ,16 ,2028 ,7285057 ,17 ,21 
2011年度,広島県,2858000 ,1380000 ,1478000 ,229058 ,16 ,1969 ,11012893 ,14 ,21 
2011年度,山口県,1444000 ,681000 ,763000 ,171614 ,16 ,1785 ,5668390 ,18 ,23 
2011年度,徳島県,780000 ,370000 ,410000 ,102416 ,17 ,2124 ,2877885 ,16 ,15 
2011年度,香川県,992000 ,478000 ,513000 ,100292 ,17 ,2041 ,3727659 ,15 ,18 
2011年度,愛媛県,1424000 ,670000 ,753000 ,166716 ,17 ,1956 ,4943758 ,17 ,19 
2011年度,高知県,758000 ,356000 ,402000 ,116053 ,17 ,2126 ,2245525 ,15 ,13 
2011年度,福岡県,5081000 ,2399000 ,2683000 ,277497 ,17 ,1820 ,17730848 ,20 ,22 
2011年度,佐賀県,847000 ,399000 ,448000 ,133297 ,17 ,1869 ,2687198 ,19 ,21 
2011年度,長崎県,1418000 ,662000 ,756000 ,163403 ,17 ,1726 ,4386746 ,16 ,17 
2011年度,熊本県,1813000 ,852000 ,961000 ,273202 ,17 ,1886 ,5563594 ,17 ,20 
2011年度,大分県,1192000 ,563000 ,629000 ,174582 ,17 ,1913 ,4093849 ,20 ,19 
2011年度,宮崎県,1130000 ,531000 ,600000 ,184571 ,17 ,2044 ,3511014 ,19 ,19 
2011年度,鹿児島県,1697000 ,793000 ,904000 ,327043 ,18 ,1867 ,5385050 ,15 ,19 
2011年度,沖縄県,1402000 ,688000 ,714000 ,116787 ,23 ,1602 ,3747868 ,30 ,26 
2010年度,北海道,5506419 ,2603345 ,2903074 ,2220710 ,10 ,1527 ,18165554 ,NA,NA
2010年度,青森県,1373339 ,646141 ,727198 ,323332 ,11 ,1465 ,4422900 ,NA,NA
2010年度,岩手県,1330147 ,634971 ,695176 ,369392 ,11 ,1566 ,4053586 ,NA,NA
2010年度,宮城県,2348165 ,1139566 ,1208599 ,314506 ,13 ,1787 ,7802198 ,NA,NA
2010年度,秋田県,1085997 ,509926 ,576071 ,319406 ,12 ,1431 ,3423257 ,NA,NA
2010年度,山形県,1168924 ,560643 ,608281 ,285527 ,13 ,1539 ,3615019 ,NA,NA
2010年度,福島県,2029064 ,984682 ,1044382 ,422858 ,14 ,1737 ,6936791 ,NA,NA
2010年度,茨城県,2969770 ,1479779 ,1489991 ,398173 ,15 ,2013 ,11232676 ,NA,NA
2010年度,栃木県,2007683 ,996855 ,1010828 ,298151 ,15 ,1879 ,7938796 ,NA,NA
2010年度,群馬県,2008068 ,988019 ,1020049 ,230109 ,16 ,2140 ,7496838 ,NA,NA
2010年度,埼玉県,7194556 ,3608711 ,3585845 ,257412 ,16 ,2114 ,20020989 ,NA,NA
2010年度,千葉県,6216289 ,3098139 ,3118150 ,353183 ,17 ,1932 ,19377150 ,NA,NA
2010年度,東京都,13159388 ,6512110 ,6647278 ,139097 ,17 ,1987 ,91925672 ,NA,NA
2010年度,神奈川県,9048331 ,4544545 ,4503786 ,146718 ,17 ,2094 ,30244370 ,NA,NA
2010年度,新潟県,2374450 ,1148236 ,1226214 ,450377 ,14 ,1583 ,8586257 ,NA,NA
2010年度,富山県,1093247 ,526605 ,566642 ,185256 ,15 ,1593 ,4351549 ,NA,NA
2010年度,石川県,1169788 ,564972 ,604816 ,138841 ,15 ,1675 ,4415554 ,NA,NA
2010年度,福井県,806314 ,389712 ,416602 ,107402 ,15 ,1619 ,3340530 ,NA,NA
2010年度,山梨県,863075 ,422526 ,440549 ,95235 ,15 ,2177 ,3161463 ,NA,NA
2010年度,長野県,2152449 ,1046178 ,1106271 ,331375 ,13 ,1929 ,7640898 ,NA,NA
2010年度,岐阜県,2080773 ,1006247 ,1074526 ,220026 ,16 ,2067 ,7085149 ,NA,NA
2010年度,静岡県,3765007 ,1853952 ,1911055 ,275331 ,17 ,2157 ,15404225 ,NA,NA
2010年度,愛知県,7410719 ,3704220 ,3706499 ,297529 ,17 ,2095 ,32072720 ,NA,NA
2010年度,三重県,1854724 ,903398 ,951326 ,204410 ,17 ,2159 ,7388579 ,NA,NA
2010年度,滋賀県,1410777 ,696769 ,714008 ,129658 ,15 ,1850 ,5967608 ,NA,NA
2010年度,京都府,2636092 ,1265387 ,1370705 ,117730 ,16 ,1750 ,9728425 ,NA,NA
2010年度,大阪府,8865245 ,4285566 ,4579679 ,131753 ,17 ,2032 ,36726803 ,NA,NA
2010年度,兵庫県,5588133 ,2673328 ,2914805 ,277513 ,17 ,2092 ,19335074 ,NA,NA
2010年度,奈良県,1400728 ,663321 ,737407 ,85143 ,15 ,1782 ,3554306 ,NA,NA
2010年度,和歌山県,1002198 ,471397 ,530801 ,109589 ,17 ,2039 ,3503121 ,NA,NA
2010年度,鳥取県,588667 ,280701 ,307966 ,91074 ,16 ,1717 ,1772811 ,NA,NA
2010年度,島根県,717397 ,342991 ,374406 ,128814 ,16 ,1704 ,2327375 ,NA,NA
2010年度,岡山県,1945276 ,933168 ,1012108 ,222735 ,17 ,2097 ,7103171 ,NA,NA
2010年度,広島県,2860750 ,1380671 ,1480079 ,229046 ,17 ,2049 ,10518571 ,NA,NA
2010年度,山口県,1451338 ,684176 ,767162 ,171600 ,16 ,1844 ,5639727 ,NA,NA
2010年度,徳島県,785491 ,372710 ,412781 ,102409 ,17 ,2121 ,2864603 ,NA,NA
2010年度,香川県,995842 ,479951 ,515891 ,100290 ,17 ,2065 ,3631694 ,NA,NA
2010年度,愛媛県,1431493 ,673326 ,758167 ,166701 ,17 ,2000 ,4783322 ,NA,NA
2010年度,高知県,764456 ,359134 ,405322 ,116053 ,18 ,2118 ,2232073 ,NA,NA
2010年度,福岡県,5071968 ,2393965 ,2678003 ,277370 ,18 ,1833 ,17694366 ,NA,NA
2010年度,佐賀県,849788 ,400136 ,449652 ,133297 ,17 ,1853 ,2775532 ,NA,NA
2010年度,長崎県,1426779 ,665899 ,760880 ,163389 ,18 ,1756 ,4352069 ,NA,NA
2010年度,熊本県,1817426 ,853514 ,963912 ,273196 ,17 ,1886 ,5495725 ,NA,NA
2010年度,大分県,1196529 ,564890 ,631639 ,174579 ,17 ,1953 ,4175884 ,NA,NA
2010年度,宮崎県,1135233 ,533035 ,602198 ,184571 ,18 ,1988 ,3481421 ,NA,NA
2010年度,鹿児島県,1706242 ,796896 ,909346 ,327039 ,19 ,1766 ,5447553 ,NA,NA
2010年度,沖縄県,1392818 ,683328 ,709490 ,116753 ,23 ,1503 ,3703999 ,NA,NA
2009年度,北海道,5524000 ,2612000 ,2911000 ,2190176 ,9 ,1604 ,18137697 ,NA,NA
2009年度,青森県,1383000 ,651000 ,732000 ,320472 ,11 ,1564 ,4401360 ,NA,NA
2009年度,岩手県,1340000 ,640000 ,700000 ,371030 ,11 ,1689 ,4121508 ,NA,NA
2009年度,宮城県,2348000 ,1139000 ,1208000 ,313048 ,13 ,1726 ,7741402 ,NA,NA
2009年度,秋田県,1097000 ,515000 ,581000 ,315425 ,12 ,1531 ,3413112 ,NA,NA
2009年度,山形県,1178000 ,565000 ,613000 ,285015 ,12 ,1560 ,3512878 ,NA,NA
2009年度,福島県,2041000 ,990000 ,1051000 ,421829 ,14 ,1689 ,7024376 ,NA,NA
2009年度,茨城県,2970000 ,1479000 ,1490000 ,397598 ,14 ,1868 ,10809225 ,NA,NA
2009年度,栃木県,2011000 ,999000 ,1012000 ,294603 ,15 ,1826 ,7732670 ,NA,NA
2009年度,群馬県,2014000 ,991000 ,1023000 ,229456 ,15 ,2028 ,7308659 ,NA,NA
2009年度,埼玉県,7161000 ,3597000 ,3565000 ,256560 ,16 ,1950 ,19728869 ,NA,NA
2009年度,千葉県,6180000 ,3083000 ,3097000 ,348827 ,16 ,1702 ,19265129 ,NA,NA
2009年度,東京都,13048000 ,6471000 ,6577000 ,139646 ,17 ,1783 ,92059902 ,NA,NA
2009年度,神奈川県,9006000 ,4533000 ,4473000 ,145995 ,16 ,1854 ,29848958 ,NA,NA
2009年度,新潟県,2385000 ,1153000 ,1232000 ,448266 ,14 ,1586 ,8460554 ,NA,NA
2009年度,富山県,1098000 ,529000 ,569000 ,185066 ,15 ,1560 ,4161138 ,NA,NA
2009年度,石川県,1171000 ,565000 ,605000 ,138309 ,15 ,1703 ,4345594 ,NA,NA
2009年度,福井県,810000 ,391000 ,418000 ,106687 ,15 ,1600 ,3291471 ,NA,NA
2009年度,山梨県,867000 ,424000 ,443000 ,95033 ,15 ,2134 ,2970503 ,NA,NA
2009年度,長野県,2162000 ,1051000 ,1111000 ,332945 ,12 ,1894 ,7573478 ,NA,NA
2009年度,岐阜県,2091000 ,1012000 ,1079000 ,214909 ,16 ,2122 ,7036710 ,NA,NA
2009年度,静岡県,3783000 ,1864000 ,1919000 ,273193 ,17 ,2097 ,15011610 ,NA,NA
2009年度,愛知県,7411000 ,3712000 ,3700000 ,296037 ,17 ,NA,32443656 ,NA,NA
2009年度,三重県,1864000 ,908000 ,956000 ,202258 ,16 ,2075 ,7207157 ,NA,NA
2009年度,滋賀県,1409000 ,696000 ,713000 ,128904 ,15 ,1825 ,5825494 ,NA,NA
2009年度,京都府,2637000 ,1266000 ,1371000 ,115535 ,16 ,1775 ,9650795 ,NA,NA
2009年度,大阪府,8855000 ,4284000 ,4571000 ,131902 ,17 ,2001 ,36649230 ,NA,NA
2009年度,兵庫県,5591000 ,2677000 ,2914000 ,275943 ,17 ,2047 ,18394905 ,NA,NA
2009年度,奈良県,1404000 ,665000 ,738000 ,85053 ,15 ,1803 ,3469586 ,NA,NA
2009年度,和歌山県,1008000 ,474000 ,534000 ,109805 ,17 ,2052 ,3330256 ,NA,NA
2009年度,鳥取県,592000 ,282000 ,310000 ,91210 ,15 ,1589 ,1837929 ,NA,NA
2009年度,島根県,721000 ,344000 ,377000 ,125658 ,15 ,1529 ,2326852 ,NA,NA
2009年度,岡山県,1949000 ,935000 ,1014000 ,221155 ,17 ,1996 ,7144667 ,NA,NA
2009年度,広島県,2864000 ,1383000 ,1481000 ,225714 ,16 ,1996 ,10555529 ,NA,NA
2009年度,山口県,1459000 ,688000 ,771000 ,175256 ,16 ,1883 ,5544566 ,NA,NA
2009年度,徳島県,790000 ,375000 ,415000 ,102307 ,17 ,2063 ,2748416 ,NA,NA
2009年度,香川県,999000 ,481000 ,518000 ,99190 ,17 ,2009 ,3680639 ,NA,NA
2009年度,愛媛県,1438000 ,676000 ,762000 ,167156 ,17 ,2003 ,4659125 ,NA,NA
2009年度,高知県,769000 ,361000 ,408000 ,116866 ,18 ,2137 ,2214252 ,NA,NA
2009年度,福岡県,5064000 ,2391000 ,2672000 ,274338 ,17 ,1807 ,17491962 ,NA,NA
2009年度,佐賀県,853000 ,401000 ,451000 ,134022 ,17 ,1947 ,2663545 ,NA,NA
2009年度,長崎県,1434000 ,669000 ,765000 ,162973 ,17 ,1900 ,4297381 ,NA,NA
2009年度,熊本県,1821000 ,855000 ,966000 ,274774 ,18 ,1985 ,5366700 ,NA,NA
2009年度,大分県,1200000 ,567000 ,634000 ,177066 ,17 ,1999 ,3994123 ,NA,NA
2009年度,宮崎県,1138000 ,534000 ,603000 ,183543 ,18 ,2172 ,3464883 ,NA,NA
2009年度,鹿児島県,1712000 ,799000 ,913000 ,324455 ,19 ,1959 ,5348792 ,NA,NA
2009年度,沖縄県,1385000 ,679000 ,706000 ,116376 ,23 ,1877 ,3691823 ,NA,NA
2008年度,北海道,5548000 ,2626000 ,2922000 ,2190159 ,10 ,1845 ,18285018 ,NA,NA
2008年度,青森県,1395000 ,657000 ,738000 ,320423 ,11 ,1642 ,4462047 ,NA,NA
2008年度,岩手県,1352000 ,646000 ,706000 ,371027 ,11 ,1775 ,4239257 ,NA,NA
2008年度,宮城県,2349000 ,1140000 ,1209000 ,313048 ,13 ,1713 ,7889410 ,NA,NA
2008年度,秋田県,1109000 ,521000 ,587000 ,315469 ,12 ,1594 ,3477527 ,NA,NA
2008年度,山形県,1188000 ,570000 ,618000 ,285015 ,12 ,1623 ,3747984 ,NA,NA
2008年度,福島県,2054000 ,997000 ,1057000 ,421829 ,13 ,1665 ,7382738 ,NA,NA
2008年度,茨城県,2971000 ,1479000 ,1492000 ,397598 ,14 ,1900 ,11554256 ,NA,NA
2008年度,栃木県,2015000 ,1001000 ,1014000 ,294603 ,14 ,1892 ,7924317 ,NA,NA
2008年度,群馬県,2017000 ,993000 ,1024000 ,229456 ,15 ,2106 ,7516345 ,NA,NA
2008年度,埼玉県,7136000 ,3588000 ,3549000 ,256560 ,15 ,2053 ,20068073 ,NA,NA
2008年度,千葉県,6153000 ,3071000 ,3082000 ,348827 ,16 ,1873 ,19303407 ,NA,NA
2008年度,東京都,12973000 ,6444000 ,6529000 ,139646 ,16 ,1858 ,97112753 ,NA,NA
2008年度,神奈川県,8965000 ,4519000 ,4446000 ,145994 ,16 ,1957 ,31320071 ,NA,NA
2008年度,新潟県,2396000 ,1159000 ,1237000 ,448241 ,14 ,1732 ,8681454 ,NA,NA
2008年度,富山県,1103000 ,532000 ,571000 ,185062 ,15 ,1697 ,4516691 ,NA,NA
2008年度,石川県,1172000 ,566000 ,606000 ,138305 ,15 ,1771 ,4648621 ,NA,NA
2008年度,福井県,814000 ,394000 ,420000 ,106682 ,15 ,1704 ,3363173 ,NA,NA
2008年度,山梨県,871000 ,426000 ,445000 ,95033 ,15 ,2225 ,3164047 ,NA,NA
2008年度,長野県,2173000 ,1056000 ,1116000 ,332945 ,12 ,2030 ,7927213 ,NA,NA
2008年度,岐阜県,2100000 ,1017000 ,1083000 ,214909 ,16 ,2141 ,7388643 ,NA,NA
2008年度,静岡県,3793000 ,1870000 ,1923000 ,273188 ,17 ,2108 ,16301808 ,NA,NA
2008年度,愛知県,7399000 ,3711000 ,3688000 ,296036 ,16 ,2133 ,33637984 ,NA,NA
2008年度,三重県,1871000 ,912000 ,959000 ,202255 ,16 ,2099 ,7305234 ,NA,NA
2008年度,滋賀県,1405000 ,695000 ,710000 ,128904 ,15 ,1893 ,6008747 ,NA,NA
2008年度,京都府,2640000 ,1268000 ,1372000 ,115523 ,16 ,1816 ,9959705 ,NA,NA
2008年度,大阪府,8847000 ,4283000 ,4564000 ,131886 ,17 ,2030 ,38541873 ,NA,NA
2008年度,兵庫県,5592000 ,2678000 ,2914000 ,275938 ,17 ,2114 ,19345361 ,NA,NA
2008年度,奈良県,1407000 ,668000 ,740000 ,85053 ,15 ,1778 ,3654001 ,NA,NA
2008年度,和歌山県,1014000 ,477000 ,537000 ,109805 ,17 ,2041 ,3501134 ,NA,NA
2008年度,鳥取県,596000 ,284000 ,312000 ,91210 ,15 ,1736 ,1914067 ,NA,NA
2008年度,島根県,727000 ,347000 ,380000 ,125658 ,15 ,1732 ,2320379 ,NA,NA
2008年度,岡山県,1953000 ,937000 ,1016000 ,221155 ,17 ,2022 ,7489482 ,NA,NA
2008年度,広島県,2870000 ,1386000 ,1483000 ,225692 ,16 ,2101 ,11026919 ,NA,NA
2008年度,山口県,1466000 ,691000 ,775000 ,175248 ,16 ,1958 ,5757191 ,NA,NA
2008年度,徳島県,795000 ,377000 ,417000 ,102295 ,17 ,2141 ,2792398 ,NA,NA
2008年度,香川県,1003000 ,483000 ,520000 ,99188 ,17 ,2017 ,3743268 ,NA,NA
2008年度,愛媛県,1445000 ,680000 ,765000 ,167129 ,17 ,2080 ,4709019 ,NA,NA
2008年度,高知県,775000 ,364000 ,412000 ,116863 ,17 ,2183 ,2273083 ,NA,NA
2008年度,福岡県,5062000 ,2393000 ,2670000 ,274315 ,17 ,1840 ,17550335 ,NA,NA
2008年度,佐賀県,856000 ,403000 ,453000 ,134017 ,17 ,1993 ,2837083 ,NA,NA
2008年度,長崎県,1443000 ,673000 ,770000 ,162916 ,17 ,1877 ,4310992 ,NA,NA
2008年度,熊本県,1826000 ,858000 ,968000 ,274770 ,17 ,2026 ,5515669 ,NA,NA
2008年度,大分県,1204000 ,569000 ,636000 ,177062 ,17 ,2042 ,4277235 ,NA,NA
2008年度,宮崎県,1141000 ,536000 ,605000 ,183540 ,17 ,2144 ,3476524 ,NA,NA
2008年度,鹿児島県,1721000 ,803000 ,918000 ,324447 ,19 ,1973 ,5476267 ,NA,NA
2008年度,沖縄県,1378000 ,675000 ,703000 ,116366 ,23 ,1815 ,3667690 ,NA,NA
2007年度,北海道,5579000 ,2644000 ,2935000 ,2190139 ,9 ,1730 ,18905204 ,NA,NA
2007年度,青森県,1409000 ,664000 ,745000 ,320417 ,11 ,1671 ,4683697 ,NA,NA
2007年度,岩手県,1364000 ,652000 ,712000 ,371026 ,11 ,1782 ,4489686 ,NA,NA
2007年度,宮城県,2354000 ,1144000 ,1210000 ,313047 ,13 ,1854 ,8270994 ,NA,NA
2007年度,秋田県,1121000 ,528000 ,593000 ,315463 ,12 ,1578 ,3689919 ,NA,NA
2007年度,山形県,1198000 ,575000 ,623000 ,285015 ,12 ,1623 ,4095911 ,NA,NA
2007年度,福島県,2067000 ,1004000 ,1063000 ,421829 ,14 ,1803 ,7858626 ,NA,NA
2007年度,茨城県,2973000 ,1480000 ,1493000 ,397598 ,14 ,2020 ,12060622 ,NA,NA
2007年度,栃木県,2016000 ,1002000 ,1014000 ,294603 ,15 ,2038 ,8350806 ,NA,NA
2007年度,群馬県,2020000 ,994000 ,1025000 ,229456 ,15 ,2211 ,7984024 ,NA,NA
2007年度,埼玉県,7106000 ,3576000 ,3530000 ,256560 ,16 ,2217 ,20829690 ,NA,NA
2007年度,千葉県,6119000 ,3056000 ,3063000 ,348827 ,17 ,1980 ,20077466 ,NA,NA
2007年度,東京都,12848000 ,6388000 ,6461000 ,139639 ,17 ,1996 ,100143946 ,NA,NA
2007年度,神奈川県,8912000 ,4497000 ,4415000 ,145994 ,17 ,2046 ,32461844 ,NA,NA
2007年度,新潟県,2408000 ,1165000 ,1243000 ,448240 ,14 ,1667 ,9123318 ,NA,NA
2007年度,富山県,1107000 ,534000 ,573000 ,185062 ,15 ,1635 ,4763493 ,NA,NA
2007年度,石川県,1173000 ,566000 ,606000 ,138299 ,15 ,1697 ,4819512 ,NA,NA
2007年度,福井県,817000 ,395000 ,422000 ,106656 ,15 ,1682 ,3498824 ,NA,NA
2007年度,山梨県,877000 ,430000 ,447000 ,95033 ,15 ,2263 ,3286247 ,NA,NA
2007年度,長野県,2182000 ,1061000 ,1121000 ,332945 ,13 ,1972 ,8254266 ,NA,NA
2007年度,岐阜県,2104000 ,1018000 ,1085000 ,214909 ,16 ,2119 ,7704398 ,NA,NA
2007年度,静岡県,3796000 ,1872000 ,1924000 ,273167 ,17 ,2124 ,17121882 ,NA,NA
2007年度,愛知県,7357000 ,3691000 ,3666000 ,296036 ,17 ,2125 ,37778381 ,NA,NA
2007年度,三重県,1873000 ,912000 ,961000 ,202253 ,17 ,2142 ,8211687 ,NA,NA
2007年度,滋賀県,1398000 ,691000 ,707000 ,128904 ,15 ,1899 ,6195666 ,NA,NA
2007年度,京都府,2643000 ,1270000 ,1373000 ,115522 ,16 ,1830 ,10348251 ,NA,NA
2007年度,大阪府,8839000 ,4282000 ,4557000 ,131873 ,18 ,2125 ,39852196 ,NA,NA
2007年度,兵庫県,5593000 ,2679000 ,2914000 ,275915 ,17 ,2163 ,19823277 ,NA,NA
2007年度,奈良県,1413000 ,671000 ,742000 ,85053 ,15 ,1900 ,3770674 ,NA,NA
2007年度,和歌山県,1021000 ,480000 ,541000 ,109804 ,17 ,2185 ,3614033 ,NA,NA
2007年度,鳥取県,601000 ,287000 ,314000 ,91210 ,16 ,1762 ,2014533 ,NA,NA
2007年度,島根県,733000 ,349000 ,383000 ,125648 ,16 ,1799 ,2474107 ,NA,NA
2007年度,岡山県,1956000 ,938000 ,1017000 ,221154 ,17 ,2052 ,7957938 ,NA,NA
2007年度,広島県,2874000 ,1389000 ,1485000 ,225690 ,17 ,2099 ,11936188 ,NA,NA
2007年度,山口県,1476000 ,695000 ,780000 ,175140 ,16 ,1911 ,6025403 ,NA,NA
2007年度,徳島県,800000 ,380000 ,420000 ,102230 ,17 ,2201 ,2848304 ,NA,NA
2007年度,香川県,1006000 ,484000 ,522000 ,99188 ,17 ,2173 ,3881802 ,NA,NA
2007年度,愛媛県,1453000 ,684000 ,769000 ,167111 ,17 ,2098 ,5064325 ,NA,NA
2007年度,高知県,783000 ,367000 ,415000 ,116854 ,18 ,2211 ,2346588 ,NA,NA
2007年度,福岡県,5061000 ,2395000 ,2666000 ,274277 ,18 ,1987 ,18285516 ,NA,NA
2007年度,佐賀県,860000 ,405000 ,455000 ,134015 ,17 ,2096 ,2970098 ,NA,NA
2007年度,長崎県,1455000 ,680000 ,776000 ,162023 ,18 ,1947 ,4423588 ,NA,NA
2007年度,熊本県,1832000 ,861000 ,971000 ,274759 ,18 ,2124 ,5757918 ,NA,NA
2007年度,大分県,1206000 ,569000 ,637000 ,177042 ,17 ,2088 ,4350338 ,NA,NA
2007年度,宮崎県,1146000 ,538000 ,607000 ,183538 ,18 ,2247 ,3560660 ,NA,NA
2007年度,鹿児島県,1733000 ,809000 ,924000 ,324421 ,19 ,2083 ,5715726 ,NA,NA
2007年度,沖縄県,1374000 ,674000 ,700000 ,116346 ,24 ,1759 ,3704986 ,NA,NA
2006年度,北海道,5605000 ,2661000 ,2944000 ,2190121 ,9 ,1725 ,19093276 ,20 ,28 
2006年度,青森県,1424000 ,672000 ,752000 ,320416 ,10 ,1465 ,4727197 ,22 ,18 
2006年度,岩手県,1375000 ,658000 ,717000 ,371018 ,10 ,1581 ,4540964 ,18 ,20 
2006年度,宮城県,2358000 ,1147000 ,1211000 ,313046 ,12 ,1636 ,8483348 ,24 ,23 
