全国のコンビニエンスストアの前年比,,,
,,,
,,,
type,pref,year,yoy
店舗数,千葉県,2021年度,0.5
店舗数,千葉県,2022年度,-0.5
店舗数,千葉県,2023年度,-0.4
店舗数,東京都,2021年度,-0.2
店舗数,東京都,2022年度,-0.2
店舗数,東京都,2023年度,-0.6
店舗数,神奈川県,2021年度,0.1
店舗数,神奈川県,2022年度,-0.3
店舗数,神奈川県,2023年度,0
店舗数,新潟県,2021年度,-0.9
店舗数,新潟県,2022年度,-1.8
店舗数,新潟県,2023年度,-0.7
店舗数,富山県,2021年度,-1.2
店舗数,富山県,2022年度,-0.8
店舗数,富山県,2023年度,-1.7
店舗数,石川県,2021年度,-0.8
店舗数,石川県,2022年度,-0.6
店舗数,石川県,2023年度,-2.9
店舗数,福井県,2021年度,-1.2
店舗数,福井県,2022年度,-0.6
店舗数,福井県,2023年度,-1.8
店舗数,山梨県,2021年度,-0.2
店舗数,山梨県,2022年度,-1.3
店舗数,山梨県,2023年度,-0.2
店舗数,長野県,2021年度,-0.1
店舗数,長野県,2022年度,-1.1
店舗数,長野県,2023年度,-1
店舗数,岐阜県,2021年度,-0.2
店舗数,岐阜県,2022年度,-0.9
店舗数,岐阜県,2023年度,-1.7
店舗数,静岡県,2021年度,-0.1
店舗数,静岡県,2022年度,-1.2
店舗数,静岡県,2023年度,-0.3
店舗数,愛知県,2021年度,-0.3
店舗数,愛知県,2022年度,-0.6
店舗数,愛知県,2023年度,-0.8
店舗数,三重県,2021年度,-0.3
店舗数,三重県,2022年度,-0.1
店舗数,三重県,2023年度,0
店舗数,滋賀県,2021年度,-2
店舗数,滋賀県,2022年度,-1.3
店舗数,滋賀県,2023年度,-0.9
店舗数,京都府,2021年度,0.2
店舗数,京都府,2022年度,-0.6
店舗数,京都府,2023年度,0
店舗数,大阪府,2021年度,1.6
店舗数,大阪府,2022年度,0.6
店舗数,大阪府,2023年度,-0.3
店舗数,兵庫県,2021年度,1.3
店舗数,兵庫県,2022年度,-0.4
店舗数,兵庫県,2023年度,-1
店舗数,奈良県,2021年度,-1.3
店舗数,奈良県,2022年度,-1.5
店舗数,奈良県,2023年度,-0.4
店舗数,和歌山県,2021年度,-1.3
店舗数,和歌山県,2022年度,-0.3
店舗数,和歌山県,2023年度,-0.5
店舗数,鳥取県,2021年度,0
店舗数,鳥取県,2022年度,1.2
店舗数,鳥取県,2023年度,-1.2
店舗数,島根県,2021年度,-0.7
店舗数,島根県,2022年度,-0.4
店舗数,島根県,2023年度,0.4
店舗数,岡山県,2021年度,1.9
店舗数,岡山県,2022年度,0.5
店舗数,岡山県,2023年度,-1
店舗数,広島県,2021年度,3.9
店舗数,広島県,2022年度,-0.6
店舗数,広島県,2023年度,-0.2
店舗数,山口県,2021年度,0.5
店舗数,山口県,2022年度,-0.5
店舗数,山口県,2023年度,-0.7
店舗数,徳島県,2021年度,-0.6
店舗数,徳島県,2022年度,0.6
店舗数,徳島県,2023年度,-0.3
店舗数,香川県,2021年度,0
店舗数,香川県,2022年度,-1.2
店舗数,香川県,2023年度,-0.5
店舗数,愛媛県,2021年度,0
店舗数,愛媛県,2022年度,-0.5
店舗数,愛媛県,2023年度,-1.4
店舗数,高知県,2021年度,-0.7
店舗数,高知県,2022年度,1.1
店舗数,高知県,2023年度,-2.1
店舗数,福岡県,2021年度,0.1
店舗数,福岡県,2022年度,-0.5
店舗数,福岡県,2023年度,0.3
店舗数,佐賀県,2021年度,-0.3
店舗数,佐賀県,2022年度,1.7
店舗数,佐賀県,2023年度,1.7
店舗数,長崎県,2021年度,2.3
店舗数,長崎県,2022年度,-0.6
店舗数,長崎県,2023年度,0.2
店舗数,熊本県,2021年度,-0.3
店舗数,熊本県,2022年度,-0.1
店舗数,熊本県,2023年度,1
店舗数,大分県,2021年度,0.2
店舗数,大分県,2022年度,1.6
店舗数,大分県,2023年度,-0.4
店舗数,宮崎県,2021年度,0.9
店舗数,宮崎県,2022年度,0
店舗数,宮崎県,2023年度,1.1
店舗数,鹿児島県,2021年度,0.8
店舗数,鹿児島県,2022年度,-0.1
店舗数,鹿児島県,2023年度,0.3
店舗数,沖縄県,2021年度,8.1
店舗数,沖縄県,2022年度,4.5
店舗数,沖縄県,2023年度,4
