排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2023,177013582,ＡＢホテル株式会社,特定事業所排出者,宿泊業,愛知県安城市,7461
2023,610337348,株式会社サンマルクホールディングス,特定事業所排出者,専門サービス業（他に分類されないもの）,岡山県岡山市,7433
2023,530010128,川西倉庫株式会社,特定事業所排出者,倉庫業,兵庫県神戸市,7347
2023,580037596,京阪神ビルディング株式会社,特定事業所排出者,不動産賃貸業・管理業,大阪府大阪市,7304
2023,200109016,株式会社イクヨ,特定事業所排出者,プラスチック製品製造業（別掲を除く）,神奈川県厚木市,7288
2023,450002873,サンメッセ株式会社,特定事業所排出者,印刷・同関連業,岐阜県大垣市,7273
2023,820013705,鳥越製粉株式会社,特定事業所排出者,食料品製造業,福岡県福岡市,7225
2023,580455148,トラスコ中山株式会社,特定事業所排出者,機械器具卸売業,東京都港区,7160
2023,500107029,シライ電子工業株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,滋賀県野洲市,7158
2023,580046165,株式会社大紀アルミニウム工業所,特定荷主,非鉄金属製造業,大阪府大阪市,7153
2023,580066239,コクヨ株式会社,特定荷主,その他の製造業,大阪府大阪市,7117
2023,985362703,綜研化学株式会社,特定事業所排出者,化学工業,東京都豊島区,7114
2023,985364708,株式会社タムラ製作所,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都練馬区,7063
2023,985091979,日本ロジテム株式会社,特定貨物輸送事業者,道路貨物運送業,東京都港区,7028
2023,985640300,日本カーリット株式会社,特定事業所排出者,化学工業,東京都中央区,6942
2023,500062007,京セラ株式会社,特定荷主,電子部品・デバイス・電子回路製造業,京都府京都市,6924
2023,200479671,黒田精工株式会社,特定事業所排出者,はん用機械器具製造業,神奈川県川崎市,6894
2023,753023338,クオール株式会社,特定事業所排出者,その他の小売業,東京都港区,6881
2023,540029268,グローリー株式会社,特定事業所排出者,業務用機械器具製造業,兵庫県姫路市,6880
2023,180007371,株式会社東邦銀行,特定事業所排出者,銀行業,福島県福島市,6835
2023,400004459,愛知時計電機株式会社,特定事業所排出者,業務用機械器具製造業,愛知県名古屋市,6823
2023,985132605,ＫＹＢ株式会社,特定荷主,輸送用機械器具製造業,東京都港区,6815
2023,580252261,エスペック株式会社,特定事業所排出者,業務用機械器具製造業,大阪府大阪市,6790
2023,270044703,テイ・エス　テック株式会社,特定事業所排出者,輸送用機械器具製造業,埼玉県朝霞市,6739
2023,617001903,ＫＨネオケム株式会社,特定荷主,化学工業,東京都中央区,6706
2023,985840651,ジェコス株式会社,特定荷主,物品賃貸業,東京都文京区,6693
2023,580000845,シャープ株式会社,特定荷主,電子部品・デバイス・電子回路製造業,大阪府堺市,6692
2023,270181239,ＡＧＳ株式会社,特定事業所排出者,情報サービス業,埼玉県さいたま市,6689
2023,201978129,株式会社ＪＶＣケンウッド,特定事業所排出者,電気機械器具製造業,神奈川県横浜市,6664
2023,985000787,アコム株式会社,特定事業所排出者,貸金業，クレジットカード業等非預金信用機関,東京都港区,6661
2023,350007367,北越メタル株式会社,特定荷主,鉄鋼業,新潟県長岡市,6619
2023,260088197,三協フロンテア株式会社,特定事業所排出者,金属製品製造業,千葉県柏市,6597
2023,985466806,東海カーボン株式会社,特定荷主,窯業・土石製品製造業,東京都港区,6543
2023,400089901,株式会社トーエネック,特定事業所排出者,設備工事業,愛知県名古屋市,6536
2023,570009570,堺化学工業株式会社,特定荷主,化学工業,大阪府堺市,6522
2023,985622301,株式会社ニッチツ,特定事業所排出者,生産用機械器具製造業,東京都港区,6490
2023,870031327,平田機工株式会社,特定事業所排出者,生産用機械器具製造業,熊本県熊本市,6483
2023,100331534,株式会社ホットマン,特定事業所排出者,機械器具小売業,宮城県仙台市,6458
2023,580291528,株式会社サンユウ,特定事業所排出者,鉄鋼業,大阪府枚方市,6416
2023,982661450,パンチ工業株式会社,特定事業所排出者,生産用機械器具製造業,東京都品川区,6399
2023,985762803,前澤化成工業株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,東京都中央区,6385
2023,401141944,株式会社扇屋東日本,特定事業所排出者,飲食店,東京都新宿区,6332
2023,200174678,株式会社山王,特定事業所排出者,金属製品製造業,神奈川県横浜市,6317
2023,581978181,株式会社きちり,特定事業所排出者,飲食店,大阪府大阪市,6266
2023,500025003,三洋化成工業株式会社,特定荷主,化学工業,京都府京都市,6197
2023,400003747,株式会社アイチコーポレーション,特定事業所排出者,輸送用機械器具製造業,埼玉県上尾市,6182
2023,580352113,株式会社ＭＯＲＥＳＣＯ,特定事業所排出者,石油製品・石炭製品製造業,兵庫県神戸市,6176
2023,580220830,ダイジェット工業株式会社,特定事業所排出者,生産用機械器具製造業,大阪府大阪市,6149
2023,860037149,株式会社サニックス,特定荷主,廃棄物処理業,福岡県福岡市,6138
2023,530062376,株式会社ノーリツ,特定荷主,金属製品製造業,兵庫県神戸市,6128
2023,160011036,株式会社かわでん,特定事業所排出者,電気機械器具製造業,山形県南陽市,6107
2023,985338708,テルモ株式会社,特定荷主,業務用機械器具製造業,東京都渋谷区,6097
2023,400162707,株式会社あさくま,特定事業所排出者,飲食店,愛知県名古屋市,6069
2023,270042217,株式会社武蔵野銀行,特定事業所排出者,銀行業,埼玉県さいたま市,6059
2023,985675501,日本フエルト株式会社,特定事業所排出者,繊維工業,東京都北区,6006
2023,800013163,玉屋リネンサービス株式会社,特定事業所排出者,洗濯・理容・美容・浴場業,福岡県福岡市,5990
2023,500124217,ニデック株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,京都府京都市,5983
2023,985004202,アンリツ株式会社,特定事業所排出者,電気機械器具製造業,神奈川県厚木市,5962
2023,400031142,アスカ株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県刈谷市,5944
2023,400011140,伊勢湾海運株式会社,特定事業所排出者,運輸に附帯するサービス業,愛知県名古屋市,5942
