ドラッグストアの前年比,,,
,,,
,,,
type,pref,year,yoy
店舗数,群馬県,2022年度,5.6
店舗数,群馬県,2023年度,2.8
店舗数,埼玉県,2021年度,2.5
店舗数,埼玉県,2022年度,3.5
店舗数,埼玉県,2023年度,1.7
店舗数,千葉県,2021年度,3.7
店舗数,千葉県,2022年度,5.3
店舗数,千葉県,2023年度,4.4
店舗数,東京都,2021年度,2.3
店舗数,東京都,2022年度,4.4
店舗数,東京都,2023年度,3.1
店舗数,神奈川県,2021年度,4.5
店舗数,神奈川県,2022年度,4.1
店舗数,神奈川県,2023年度,2.4
店舗数,新潟県,2021年度,7.5
店舗数,新潟県,2022年度,3.2
店舗数,新潟県,2023年度,3.1
店舗数,富山県,2021年度,11.5
店舗数,富山県,2022年度,7
店舗数,富山県,2023年度,2.2
店舗数,石川県,2021年度,10.4
店舗数,石川県,2022年度,6.7
店舗数,石川県,2023年度,3.7
店舗数,福井県,2021年度,15.7
店舗数,福井県,2022年度,7.9
店舗数,福井県,2023年度,1
店舗数,山梨県,2021年度,5.5
店舗数,山梨県,2022年度,7.4
店舗数,山梨県,2023年度,4.8
店舗数,長野県,2021年度,4.5
店舗数,長野県,2022年度,3.9
店舗数,長野県,2023年度,4.5
店舗数,岐阜県,2021年度,1.8
店舗数,岐阜県,2022年度,1.6
店舗数,岐阜県,2023年度,0.9
店舗数,静岡県,2021年度,6.1
店舗数,静岡県,2022年度,4.3
店舗数,静岡県,2023年度,4.3
店舗数,愛知県,2021年度,6.1
店舗数,愛知県,2022年度,4.2
店舗数,愛知県,2023年度,3.8
店舗数,三重県,2021年度,6.4
店舗数,三重県,2022年度,3.4
店舗数,三重県,2023年度,3.3
店舗数,滋賀県,2021年度,8.8
店舗数,滋賀県,2022年度,8.1
店舗数,滋賀県,2023年度,1.6
店舗数,京都府,2021年度,6
店舗数,京都府,2022年度,-0.9
店舗数,京都府,2023年度,5.7
店舗数,大阪府,2021年度,4.8
店舗数,大阪府,2022年度,2.5
店舗数,大阪府,2023年度,4.1
店舗数,兵庫県,2021年度,5.9
店舗数,兵庫県,2022年度,4.3
店舗数,兵庫県,2023年度,5.4
店舗数,奈良県,2021年度,4.4
店舗数,奈良県,2022年度,7
店舗数,奈良県,2023年度,2.6
店舗数,和歌山県,2021年度,8.4
店舗数,和歌山県,2022年度,3.9
店舗数,和歌山県,2023年度,1.9
店舗数,鳥取県,2021年度,12.5
店舗数,鳥取県,2022年度,8.6
店舗数,鳥取県,2023年度,3.4
店舗数,島根県,2021年度,5
店舗数,島根県,2022年度,1.2
店舗数,島根県,2023年度,5.9
店舗数,岡山県,2021年度,8.8
店舗数,岡山県,2022年度,17.1
店舗数,岡山県,2023年度,3.2
店舗数,広島県,2021年度,3.5
店舗数,広島県,2022年度,7
店舗数,広島県,2023年度,5.1
店舗数,山口県,2021年度,4
店舗数,山口県,2022年度,1.9
店舗数,山口県,2023年度,4.7
店舗数,徳島県,2021年度,6
店舗数,徳島県,2022年度,11.4
店舗数,徳島県,2023年度,6.1
店舗数,香川県,2021年度,3.9
店舗数,香川県,2022年度,2.2
店舗数,香川県,2023年度,4.4
店舗数,愛媛県,2021年度,3.7
店舗数,愛媛県,2022年度,5.5
店舗数,愛媛県,2023年度,0.7
店舗数,高知県,2021年度,4.2
店舗数,高知県,2022年度,0
店舗数,高知県,2023年度,5.1
店舗数,福岡県,2021年度,3.2
店舗数,福岡県,2022年度,3.1
店舗数,福岡県,2023年度,6.8
店舗数,佐賀県,2021年度,0
店舗数,佐賀県,2022年度,3.5
店舗数,佐賀県,2023年度,7.9
店舗数,長崎県,2021年度,6.3
